ID      SECTION-NUMBER  SECTION-LENGTH  BRANCH-ORDER    X       Y       Z       HEAD-DIAMETER   NECK-DIAMETER   MAX-DTS TYPE    AUTO    XYPLANE-ANGLE   SWC-NODE-ID     SWC-NODE-OFFSET ATTACH-X        ATTACH-Y        ATTACH-Z        SOMA-DISTANCE
105     20      88.959892       N/A     432.999695      172.132935      154.478653      0.992882        0.02    1.543945        mushroom        yes     26.203798       1317    0.809136        433.222168      173.001266      154.9198        304.11496
106     7       113.390648      N/A     341.689514      155.852142      120.731224      1.158611        0.991295        1.587119        mushroom        yes     -19.559474      402     0.752803        342.828369      156.557556      120.255272      238.014832
107     42      105.884048      N/A     358.578796      110.20118       141.699341      0.610012        N/A     1.637397        stubby  yes     79.27404        2426    0.905891        358.625488      109.849464      143.572418      303.857788
108     23      39.485191       N/A     345.736633      194.755692      124.289703      0.472035        0.02    1.593158        mushroom        yes     -4.551629       1673    0.579223        343.752594      194.563751      124.13102       201.982529
109     30      66.320633       N/A     410.836029      104.279022      133.775192      0.2     N/A     1.656701        stubby  yes     37.363234       1874    0       412.199005      105.288002      135.070007      328.864227
110     42      105.884048      N/A     359.558411      111.721848      142.027924      0.306169        0.02    1.587765        thin    yes     76.08818        2420    0       359.411011      112.070999      143.557999      301.275513
111     28      12.854172       N/A     391.738129      120.074379      133.708206      0.745575        N/A     1.586737        stubby  yes     -61.589482      1818    0.411451        391.182587      119.63028       132.393387      301.405914
112     15      66.846718       N/A     400.261383      178.174377      130.484955      0.577007        0.2     1.538368        mushroom        yes     -3.778342       1062    0.886044        399.779663      176.888748      130.394287      261.755035
113     42      105.884048      N/A     356.919525      170.061264      133.541 0.45463 0.02    1.651858        mushroom        yes     18.958169       2339    0.901799        355.436066      169.684937      134.066727      234.633743
114     20      88.959892       N/A     413.86908       179.444122      147.378159      0.529995        0.02    1.614188        mushroom        yes     -9.311622       1282    0.183735        415.56073       178.634369      147.070648      281.549591
115     21      169.817505      N/A     381.127716      194.24733       117.6716        0.430257        0.02    1.663676        mushroom        yes     9.078451        1357    0       380.738953      192.596176      117.94265       231.397964
116     30      66.320633       N/A     407.701843      107.437187      132.427094      0.02    N/A     1.61449 stubby  yes     44.859367       1861    0       406.871094      108.403435      133.695129      322.377441
117     15      66.846718       N/A     390.863281      180.448425      128.718353      0.517848        0.02    1.583009        mushroom        yes     17.236907       1282    0.997166        390.591522      179.170609      129.123672      251.969604
118     15      66.846718       N/A     427.962555      149.756485      137.696335      0.530182        N/A     1.541519        stubby  yes     67.982863       1141    0.713513        428.121765      150.219376      138.90686       305.160004
119     42      105.884048      N/A     359.097717      115.818932      143.036392      0.897436        0.781321        1.558697        mushroom        yes     -67.946559      2409    0       358.725006      115.394997      141.643005      296.870697
120     23      39.485191       N/A     345.009857      197.549957      123.729065      0.991075        N/A     1.579537        stubby  yes     -14.056124      1670    0.493381        343.412506      196.773361      123.284378      199.348511
121     13      22.627888       N/A     371.243683      192.737823      117.913383      0.30426 0.02    1.583708        thin    yes     -14.159922      1003    0.317272        371.938995      194.382004      117.462997      221.568237
122     41      10.278708       N/A     339.110626      203.763031      123.635231      0.465874        0.2     1.480526        mushroom        yes     -12.256103      2275    0       340.595001      204.460007      123.278999      190.791214
123     30      66.320633       N/A     451.093964      85.798103       132.071854      0.02    N/A     1.613315        stubby  yes     74.774994       1957    0.109203        451.443268      86.288712       134.284698      375.741302
124     36      25.704958       N/A     348.38089       168.997757      125.725998      0.41427 N/A     1.602881        stubby  yes     60.459013       2063    0.162388        349.092926      168.486145      127.273117      230.053436
125     8       66.177658       N/A     355.249786      110.966125      116.580643      0.466901        0.374338        1.47893 mushroom        yes     62.591535       476     0       355.704895      110.893082      117.469551      289.119476
126     22      25.255371       N/A     329.225372      214.89917       116.370209      0.648106        0.471802        1.452236        mushroom        yes     -31.489485      1642    0.469861        330.690033      214.889786      115.473015      172.903488
127     6       95.085373       N/A     296.417175      248.686127      102.37941       0.518443        0.435226        1.517468        mushroom        yes     4.823113        243     0.13062 295.54599       246.994003      102.540001      122.116989
128     7       113.390648      N/A     335.317932      192.355469      117.216789      0.776073        N/A     1.450937        stubby  yes     44.725714       343     0.122302        336.185608      193.001846      118.288452      196.787476
